comment
Don't forget to smash the like button if you gained value out of today's video! Hope you found it helpful!
"If you're open to feedback, I found the music very distracting - the volume was a factor, but mainly the beat itself wasn't particularly relaxing or easy to ignore. Something slower and quieter works better in my opinion. Thank you for the video regardless"
"Sounds like the best plan is to audit the courses you want to learn for free, then enroll for a month to knock out the certs?"
How do you get your certificates ?  Do you download them? are they threw E-mail?  Can you print them? Also do the Microsoft ones have the Microsoft logo on them ? Please be specific. Thank you.
"I got valuable information Thank you,  from Ethiopia"
All courses are well worth it I have taken many of their courses even things I never would have taken.
"It depends. If you have plenty of time and determination to finish many courses, the plus is worth it. Although I am determined, but I don't have much time. I can only finish one course a month. What I did is to apply financial aid and I  am only paying for 5 bucks per course. Still you can never go wrong for investing in your learning."
my only main question is are the certificate's real? and would they truly hold up on a resume or in a interview trying to land a job?
"Remember people, it doesn't matter where you learn what you learn. Results are the only meaningful truths. Will you be able to provide something to the company you wanna work for, by studying through Coursera ( or any platform for that matter )? If the answer is yes, and if Coursera is what would motivate you and help you to study, then that is your path to success. Always use what you feel motivated by ( but also be mindful of scams, obviously coursera is not a scam )."
Not sure if it’s just me but I have cousera plus and it’s still tryna charge me  extra $49 each for the certificates. Anyone else have this problem?
"Hi Alvin! I love what you're doing and new subscriber here! By the way, I help content creators to increase their online presence through video editing and enhancing their post and reels for better engagement and audience retention, which is why I'm tuning into your vlog and learning a lot. Just sending this message because I love your work!"
Should i join coursera since i don't have degree
Do we have to pay extra apart from the $399 if we have to enroll multiple courses same time? Also how can we get the list of Universities/ courses not covered under the plan.
THIS WAS SO HELPFUL SQUARED
Look more like an ads then a valuable video
The music is too high and your voice too low
"No, please don't buy this shit. Coursera is truly a terrible platform for learning. I regret buying a 1-year subscription. One of the most frustrating things is the peer review trolling."
If I take up a course then will it help me get a job? Are any of the courses placement assisted?
I just want to warn everyone that I paid $100 USD out of pocket for an amazon certificate that I passed the test for and obtained and still have not received any difference in job applications in job application responses or oppurtinities.
"Name of the video: is Coursera certification worth it?

Content: Bladabladabladabladablada"
How about some real testimony of how Coursera helped someone get a job.
If you get the coursera plus and want the google analytics certificate can it be linked to my Linkedin profile and added to my resume ?
Do you have to have a high school diploma to take cosmetic courses on coursera
Do you think these would help me get A job without a degree and just using the certificates?
"Thanks for the info ,I wanna do the SEF specialization and I want to do at least 3 in 3 months ,used to the pressure im a third year in comsci ,so will that be possible 

basically one per month or two months ,like maybe js full-stack & UX design in two months then maybe another 1 I havent made a decision on yet I just wanna add to my resume
unfortunately they are both IBM so I cant do coursera plus"
please suggest a path to start with best data analytics course.
Great video for someone that is new to the platform. Thanks Alvin. I am primarily looking at their Cyber Security Certs(I am currently a Database Admin). I think this platform looks like it will definitely be worth the $399 price tag.
"great video, but please quieter music in the future (or no music is good too). thanks for the info"
Ur bgm is disturbing more
would you suggest doing an Online MBA through coursera ?
hey does coursera courses are up to date for 2024??? im interested in studying Search Engine Optimization (SEO) Specialization
"sir i have a many question, did coursera plus can access all of the course and will get the certificate? and if I checkout from a course which is not coursera plus, can I access all of the course? and what is differences between coursera plus, coursera original, and coursera lite? thanks"
it's HELL to unsubscribe from their email list... Shameful
Arthur 
Would I need to write any papers for the hrci course?
Hi Alvin I like your channel. I like the way you differentiate between Project Management or Scum Master.
SPONSORED!!
"So if I plan to completely 2 courses for 3 months of summer. Can I just pay for 2 months and then cancel, still I can get the certificate?"
"Hi Alvin, thanks for sharing this video, actually my English level not really that's much high, so I have a question, can I enroll into 3 courses with my free trial account (7 Days) and still get certificates by the end of finishing these courses?"
just curious if you got your PMP from Coursera?
