author	comment
@mtorres723	 @torreto5391  these dudes don’t wanna explain haha
@lih1352	 @torreto5391  I'm starting to believe they're dishonest :/
@yolow69	I lost an opportunity due to lack of experience in an area . I am now working on getting a certification to make myself more marketable! Thanks for your insight!
@paulal3261	I've taken Cybersecurity in college and Coursera and Coursera was excellent! They explained everything in a way I could better understand. The free course is nothing but listening so making sure you takes notes is highly important to make sure you know you are learning & understanding the content. Highly recommend 
@KenSherman	I commend you on clarifying a little of the difference between the specialization and the courses.
@TravisSmith-jb8wr	Udemy is better for learning Python and SQL.  Learn and retained next to nothing after 4 months of python and SQL on Coursera.  Udemy has better hands on so far.  Actually it is almost all hands on.  \n\nCurrently taking 100 days to code and SQL boot camps.
@sylenyap2409	Thank you for making this video. I'm stuck between taking a payroll course(s) with Coursera or taking a course with CUNY. I live in NYC and the price point is a huge difference. I'm currently paying for my son's college tuition and was wondering if Coursera would be worth the money as I would like to further my knowledge in finance but don't want to waste money. I truly appreciate your honesty and thoroughness.
@Aisi555	I've just finished the AWS IOT course.. it was not for beginner and fortunately i am familliar with AWS from last year. Some exercise was written in 2019 and as 2021 AWS has upgrading some services,  so after exercise 3 it is not meet the required upgraded version. But after all,  it is boosting my confidence for this pandemic era as coursera approved my financial aid.
@Aisi555	 @RichardWalls   not much to expect, but i switch to educational jobs as it is more demand during this pandemic
@mqmareq6248	Coursera is great, but most of the courses I have done there were built in such way that if you do not achieve 100% score, you probably can not read. Exception being e.g. Pavel Pevzner's Bioinformatics specialisation or the original 2012 version of the Probabilistic Graphical Models course (has been diluted and split into several courses now, so not sure about that one any more).\n\nIn this respect, I found MITx courses on edX  better (and I like edX UX significantly more as well - yes, this is subjective). In order to pass those, you have to understand the subject matter, apply it in a creative way to a problem you have never seen before - so you have to actually think as opposed to Coursera's norm of simple recall quizzes. The only problem of those MITx courses is that they run on extremely crazy schedules, so having full-time job and/or family makes it almost impossible to do them simply because of lack of time.
@shortnykee4643	Love this video  - I saw on the sight that it would be $39 a month and it’s about 10 hours per week in less than 6 months, just wanted to make sure if that was accurate and also if it’s a certain time frame when we complete the classes are we suppose to schedule the test for the certification itself or everything is all inclusive?
@shortnykee4643	 @RichardWalls  Okay Great ! Thank you so much for the response back  I really appreciate it !
@Rebecca-qg8pb	I want to get a master degree in business administration and VFX and a specialization in software development and the fact that I don't have to go to a physical university and study both at the same time is amazing.
@dubrovniko	What a great video! Thank you Richard 
@rexxander6679	Thank you for doing this review it's very informative 
@mohamed.nasser22	Thanks bro  i love to tell you that your channel will grow very fast i promise you
@sadinosecleticos	Awesome video!\nI am actually thinking about doing a course about Legal Tech and Startups!\nThanks!\nCheers 
@anomad6314	I'm stopping at 5 - 6 specializations and 2-3 individual courses. The last 3 specializations will based on change management, transformation, and SQL. Should be done by the end of May.... has taken 3 months, but will hopefully be worth it.
@anomad6314	 @RichardWalls   Thank you. FYI Below is what's done so far... it's taken longer than expected... will finish with a SQL specialization this week:\n- Organizational Change and Culture for Adopting Google Cloud Specialization \n- Digital Transformation Using AI/ML with Google Cloud Specialization\n- Organizational Leadership in Diversity, Equity & Inclusion Specialization \n- Strategic Leadership: Impact, Change, and Decision-Making Specialization (40K words of notes!)\n- Influencing: Storytelling, Change Management and Governance Specialization \n- Removing Barriers to Change \n- Content Strategy for Professionals Specialization (Capstone to sort)\n- Health Information Technology Fundamentals\n- Designing the Future of Work (2hrs left)\n- Digital Transformation \n- Digital Business Models
@Brucee_97	I love it. Thank you for this review 
@thatonedog819	I'm planning on using it to refresh my memory on some classes before going back to college after a couple year break
@dngt90X	Its free if you live in california and are part of public library system
@tf4268	@RichardWalls My company gives us access to the Coursera+ classes, some of which are taken straight from the UIUC iMBA courses. From what I could see, if you take these courses ahead of enrolling in the iMBA, you can use them towards your degree. Having been a part of both Coursera and iMBA at UIUC, do you know if this is an additional way to save some $$ on the 12 or so credits I currently have access to? Or is it something that you inevitably have to pay for when transferring those credits for consideration/grades? Thanks man, great channel! UIUC and Boston University applications going in this week, in large part thanks to your content!
@joshuamizal2703	Thanks for you insights on this 
@CatherineChaw312	Hi there!\nSo I study using Coursera. I have taken a few courses on variety of fields I am interested in. I did an introductory marketing course ( from Wharton) and currently doing an accounting course ( also from Wharton). I wanna learn more about different branches of business as I am still trying to figure out what I like the most and what I should choose to pursue my degree. Now I wanna learn about business administration .Can you recommend me some great courses about business management or business administration for newbies on Coursera?\nThank you 
@KarenMoore-k3o	Right now im doing project management and trying to figure out which should be my next
@FryedSaw	Greetings and Salutations \n\nFrom the free course offered in \nNew California Republic 
@OliviaSmithR	Great content. What do you think about Vonza platform?
@OliviaSmithR	 @RichardWalls  Thank you for looking into Vonza
