author	comment
@smhamidur	"""Intuit Bookkeeping Professional Certificate"" Does this course includes yearly subscription?"
@NitishRm	bought coursera plus 12 months for like 15 dollars
@NitishRm	 @RichardWalls  yeah
@amardevsingh3818	@NitishRm hey, how to get that special price?
@denysepius	Hey Mr.Walls, if l pay for the year and study different courses and get the certificates are they valid as the paying for each course??
@septimatemporada	"Somebody know what does ""Spectrum Sharing"" mean? because there is a ""google"" in the options INCLUDED :S . I would like to take the google data analytics ceritifcate and i am not sure about to take coursera plus :S maybe there is some coursera email to make that request?"
@seshanth.s699	Can I do two specializations like python and SQL within one month by using Coursera plus subscription
@seshanth.s699	Can I learn for 20 hours /week by Coursera plus subscription in python for Everybody specialization ?
@Sam-ny1ng	How do you pay for all this and not get a Job to pay for this stuff?
@carysmurphy9317	Do you know how to unenroll from a course?
@aldehlawi	Hi Richard \nI wonder is it possible that i subscribe for monthly payment plan and then buy like 6 courses and then cancen my subscription then i can complete that 6  courses later on on my pace?
@askashutosh8667	Thankyou  Mr. Richard Walls
@yummilee896	Hi, where can I find a list of exclusions in coursera plus?May you pls advice?
@CraigSRichardson	I'm curious how many hours of commitment per week are you predicting to equal one specialization per quarter? 10 hours per week? 20? thanks
@mayurijain3726	Job guarantee ?
@techboi_420	Hey I recently subscribed. Keep it up, great videos
@beltoftruth56	Eye opener ..thanks for your reveiws so great
@sreeramanil3902	Hey\nThanks for the video. Was really helpful.\nWill the certificate still be valid after the Coursera plus subscription ends?
@Vikermajit	Tq sir...very helpful...tq for sharing with learners
@virginiovictor7427	hello, If I did a course by coursera for free and I pay the coursera plus I will be abble to take the certificates of the couses that I did (they are included in the list that you showed)
@user-sd2ug5bn6m	Thank you for making this helpful video sir.
@CVM181	Can´t you just do the specializations on a free trial and then when you´ve almost completed them (idk 80%-90%), pay the monthly fee ONCE and finish them to retrieve all the certificates?
@anubhavsahu2808	Hey? Did it work that way?
@anubhavsahu2808	Not with specializations but with courses?
@phatzdomino5343	@RichardWalls I have a subscription to coursera but it’s asking for 39.99$ monthly for the course, does that seem right ?
@missdesireindependance5194	I’m looking at the sales force certificate.
@KP-ky1sn	I like Coursera 2 Reasons. The courses are great and MOST critically its all i can afford. What i don't get is how they advertise totally unaffordable universities alongside their courses. Makes zero sense. If i could afford university i wouldn't be on coursera forever.
@lincolnogden316	Is there different plan for Coursera. Or is Coursera plus is the on the plan that they offer. I want to get the Google IT certification professional by eight is putting me in Coursera plus
@jasonarmstrong4640	I feel that cert is too basic. I did it. Don't recommend
@lincolnogden316	 @jasonarmstrong4640  ohh how was the final exam was like?
@seenthefuture86	what if you complete your course and get a certificate, can you cancel subscription afterwards, or will they still bill you?
@codertjay	cool
@demetriahorne1006	Horrible learning site. Cant load or finish course. No tech support.
@larryhatcher8927	"Caveat Emptor......A few days ago , my coursera plus account renewed automatically (That is something else I could talk about but not now) and I did not really want that to happen.  The rules governing this tells us that if you cancel your service within 2 weeks to get a full refund.  I've been trying for a week to get a refund.  The people at Coursera say ""Well we have sent the refund to your bank"".  The bank says they have never received anything.  It kinda looks like I'm simply not going to receive anything.  \n\nBTW trying to get in touch with anyone at Coursera is almost impossible.  They only have email.  Also I have emailed them and offered numerous solutions....send the refund to another account, even send me a check in the mail.....All of that is against their rules.  I'm running out of options.  The only thing I can think of right now is to send Professor Ng a personal email.  He is suppose to be the founder, owner or something....However I doubt that would do any good"
@anizato	I just decided to start. This video helped me narrow down my decision. Ill be doing the $399, desire to learn these certificates:\n\nGoogle IT Support \nGoogle Project Manager\nGoogle Data Analytics\nIBM Devop
